区分コード,担当者名,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6
A,伊東,KS64-00505BA,1.0,1,MV-KS64-00505BA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504GA,1.0,1,MV-KS64-00504GA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504FA,1.0,1,MV-KS64-00504FA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504EA,1.0,1,MC-KS64-00504EA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504DA,1.0,1,MC-KS64-00504DA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504CB,1.0,1,MC-KS64-00504CB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504CA,1.0,1,MC-KS64-00504CA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,K-13315EB,1.0,1,MC-K-13315EB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504AB,1.0,1,MC-KS64-00504AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KS64-00504AA,1.0,1,MC-KS64-00504AA,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
A,伊東,KD64-00733AB,1.0,1,MV-KD64-00733AB,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
